 id  |           main_purpose_id            | rule_category |      rule_title      |                                   rule_description                                   | is_required | display_order |          created_at           |          updated_at           
  76 | b2a92ab3-46c3-4a3d-a0d0-c50bc620764e | general       | ゴミの持ち帰り       | ゴミは必ず持ち帰り、現地に残さないようにしましょう。自然環境の保護にご協力ください。 | t           |             1 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  77 | 9276713e-036f-4f49-ba91-6683a76dcbe9 | general       | ゴミの持ち帰り       | ゴミは必ず持ち帰り、現地に残さないようにしましょう。自然環境の保護にご協力ください。 | t           |             1 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  78 | 54b3d61b-e44b-4bbe-8984-5827934d864a | general       | ゴミの持ち帰り       | ゴミは必ず持ち帰り、現地に残さないようにしましょう。自然環境の保護にご協力ください。 | t           |             1 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  79 | 0f03e133-d17e-4fb4-b5f6-3c51ba62f53e | general       | ゴミの持ち帰り       | ゴミは必ず持ち帰り、現地に残さないようにしましょう。自然環境の保護にご協力ください。 | t           |             1 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  80 | f78c9d49-9498-4834-982d-6bf49834ff0a | general       | ゴミの持ち帰り       | ゴミは必ず持ち帰り、現地に残さないようにしましょう。自然環境の保護にご協力ください。 | t           |             1 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  89 | cb09f05c-16e1-44ec-823b-e577f06694e2 | general       | アイドリング禁止     | 不要なアイドリングは避け、環境に配慮した運転を心がけましょう。                       | t           |             2 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  81 | 4361fcae-51ce-45ce-9d30-41f9e9cc2261 | general       | アイドリング禁止     | 不要なアイドリングは避け、環境に配慮した運転を心がけましょう。                       | t           |             2 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  82 | 7431b624-26e2-46c1-a83e-e8a38ff7f62a | general       | アイドリング禁止     | 不要なアイドリングは避け、環境に配慮した運転を心がけましょう。                       | t           |             2 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  83 | 3879cb09-2d6b-4911-9a09-9493c71e82cd | general       | アイドリング禁止     | 不要なアイドリングは避け、環境に配慮した運転を心がけましょう。                       | t           |             2 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  84 | 0b560b0f-ffb4-4461-b20d-2343fee0a902 | general       | アイドリング禁止     | 不要なアイドリングは避け、環境に配慮した運転を心がけましょう。                       | t           |             2 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  85 | ed4f9dc5-e611-4e67-ad0d-8bb1afc70d77 | general       | アイドリング禁止     | 不要なアイドリングは避け、環境に配慮した運転を心がけましょう。                       | t           |             2 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  86 | 4476928c-9d29-4d12-a4a3-9035e5b6a9fc | general       | アイドリング禁止     | 不要なアイドリングは避け、環境に配慮した運転を心がけましょう。                       | t           |             2 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  87 | a29d45d3-bb14-4ffc-85af-3e555d6bcc04 | general       | アイドリング禁止     | 不要なアイドリングは避け、環境に配慮した運転を心がけましょう。                       | t           |             2 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  88 | 5809422b-2d99-4769-abd8-3b3c08c46ce0 | general       | アイドリング禁止     | 不要なアイドリングは避け、環境に配慮した運転を心がけましょう。                       | t           |             2 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  90 | affc9228-2e03-4b1f-a09f-714eabe2f731 | general       | アイドリング禁止     | 不要なアイドリングは避け、環境に配慮した運転を心がけましょう。                       | t           |             2 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  91 | bc7cbd8f-8b31-4009-8c22-fc80d1af76de | general       | アイドリング禁止     | 不要なアイドリングは避け、環境に配慮した運転を心がけましょう。                       | t           |             2 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  92 | b2a92ab3-46c3-4a3d-a0d0-c50bc620764e | general       | アイドリング禁止     | 不要なアイドリングは避け、環境に配慮した運転を心がけましょう。                       | t           |             2 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  93 | 9276713e-036f-4f49-ba91-6683a76dcbe9 | general       | アイドリング禁止     | 不要なアイドリングは避け、環境に配慮した運転を心がけましょう。                       | t           |             2 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  94 | 54b3d61b-e44b-4bbe-8984-5827934d864a | general       | アイドリング禁止     | 不要なアイドリングは避け、環境に配慮した運転を心がけましょう。                       | t           |             2 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  95 | 0f03e133-d17e-4fb4-b5f6-3c51ba62f53e | general       | アイドリング禁止     | 不要なアイドリングは避け、環境に配慮した運転を心がけましょう。                       | t           |             2 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  96 | f78c9d49-9498-4834-982d-6bf49834ff0a | general       | アイドリング禁止     | 不要なアイドリングは避け、環境に配慮した運転を心がけましょう。                       | t           |             2 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  97 | 4361fcae-51ce-45ce-9d30-41f9e9cc2261 | general       | 地元住民への配慮     | 地元住民の生活に迷惑をかけない行動を心がけ、騒音や駐車マナーに注意しましょう。       | t           |             3 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  98 | 7431b624-26e2-46c1-a83e-e8a38ff7f62a | general       | 地元住民への配慮     | 地元住民の生活に迷惑をかけない行動を心がけ、騒音や駐車マナーに注意しましょう。       | t           |             3 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  99 | 3879cb09-2d6b-4911-9a09-9493c71e82cd | general       | 地元住民への配慮     | 地元住民の生活に迷惑をかけない行動を心がけ、騒音や駐車マナーに注意しましょう。       | t           |             3 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 100 | 0b560b0f-ffb4-4461-b20d-2343fee0a902 | general       | 地元住民への配慮     | 地元住民の生活に迷惑をかけない行動を心がけ、騒音や駐車マナーに注意しましょう。       | t           |             3 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 101 | ed4f9dc5-e611-4e67-ad0d-8bb1afc70d77 | general       | 地元住民への配慮     | 地元住民の生活に迷惑をかけない行動を心がけ、騒音や駐車マナーに注意しましょう。       | t           |             3 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 102 | 4476928c-9d29-4d12-a4a3-9035e5b6a9fc | general       | 地元住民への配慮     | 地元住民の生活に迷惑をかけない行動を心がけ、騒音や駐車マナーに注意しましょう。       | t           |             3 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 103 | a29d45d3-bb14-4ffc-85af-3e555d6bcc04 | general       | 地元住民への配慮     | 地元住民の生活に迷惑をかけない行動を心がけ、騒音や駐車マナーに注意しましょう。       | t           |             3 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 104 | 5809422b-2d99-4769-abd8-3b3c08c46ce0 | general       | 地元住民への配慮     | 地元住民の生活に迷惑をかけない行動を心がけ、騒音や駐車マナーに注意しましょう。       | t           |             3 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 105 | cb09f05c-16e1-44ec-823b-e577f06694e2 | general       | 地元住民への配慮     | 地元住民の生活に迷惑をかけない行動を心がけ、騒音や駐車マナーに注意しましょう。       | t           |             3 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 106 | affc9228-2e03-4b1f-a09f-714eabe2f731 | general       | 地元住民への配慮     | 地元住民の生活に迷惑をかけない行動を心がけ、騒音や駐車マナーに注意しましょう。       | t           |             3 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 107 | bc7cbd8f-8b31-4009-8c22-fc80d1af76de | general       | 地元住民への配慮     | 地元住民の生活に迷惑をかけない行動を心がけ、騒音や駐車マナーに注意しましょう。       | t           |             3 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 108 | b2a92ab3-46c3-4a3d-a0d0-c50bc620764e | general       | 地元住民への配慮     | 地元住民の生活に迷惑をかけない行動を心がけ、騒音や駐車マナーに注意しましょう。       | t           |             3 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 109 | 9276713e-036f-4f49-ba91-6683a76dcbe9 | general       | 地元住民への配慮     | 地元住民の生活に迷惑をかけない行動を心がけ、騒音や駐車マナーに注意しましょう。       | t           |             3 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 110 | 54b3d61b-e44b-4bbe-8984-5827934d864a | general       | 地元住民への配慮     | 地元住民の生活に迷惑をかけない行動を心がけ、騒音や駐車マナーに注意しましょう。       | t           |             3 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 111 | 0f03e133-d17e-4fb4-b5f6-3c51ba62f53e | general       | 地元住民への配慮     | 地元住民の生活に迷惑をかけない行動を心がけ、騒音や駐車マナーに注意しましょう。       | t           |             3 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 112 | f78c9d49-9498-4834-982d-6bf49834ff0a | general       | 地元住民への配慮     | 地元住民の生活に迷惑をかけない行動を心がけ、騒音や駐車マナーに注意しましょう。       | t           |             3 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 126 | 0b560b0f-ffb4-4461-b20d-2343fee0a902 | specific      | ゲレンデルールの遵守 | スピードを制御し、前方の滑走者を優先してください。                                   | t           |            10 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 114 | affc9228-2e03-4b1f-a09f-714eabe2f731 | specific      | 遊泳禁止エリアの確認 | 遊泳禁止エリアには絶対に入らないでください。                                         | t           |            10 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 115 | 3879cb09-2d6b-4911-9a09-9493c71e82cd | specific      | 交通ルールの遵守     | 自転車も車両です。信号や標識を守り、歩行者優先で安全運転を心がけてください。         | t           |            10 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 116 | 4476928c-9d29-4d12-a4a3-9035e5b6a9fc | specific      | 農園のルール遵守     | 各農園の収穫ルールを守り、指定された果物のみを収穫してください。                     | t           |            10 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 124 | cb09f05c-16e1-44ec-823b-e577f06694e2 | specific      | 撮影マナーの遵守     | 私有地への無断立ち入りや他人の迷惑になる撮影は控えてください。                       | t           |            10 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 125 | f78c9d49-9498-4834-982d-6bf49834ff0a | specific      | 撮影マナーの遵守     | 私有地への無断立ち入りや他人の迷惑になる撮影は控えてください。                       | t           |            10 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 113 | ed4f9dc5-e611-4e67-ad0d-8bb1afc70d77 | specific      | 登山届けの提出       | 登山届けが必要なエリアでは、必ず事前に提出してください。                             | t           |            10 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 118 | 0f03e133-d17e-4fb4-b5f6-3c51ba62f53e | specific      | 遊漁券の購入         | 遊漁券が必要なエリアでは事前に購入してください。                                     | t           |            10 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 120 | 5809422b-2d99-4769-abd8-3b3c08c46ce0 | specific      | 光害への配慮         | 観測地では車のライトやスマホの光を最小限にしてください。                             | t           |            10 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 121 | f78c9d49-9498-4834-982d-6bf49834ff0a | specific      | 線路への立ち入り禁止 | 線路内は絶対に立ち入らないでください。                                               | t           |            10 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 123 | a29d45d3-bb14-4ffc-85af-3e555d6bcc04 | specific      | 撮影マナーの遵守     | 私有地への無断立ち入りや他人の迷惑になる撮影は控えてください。                       | t           |            10 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 117 | 4476928c-9d29-4d12-a4a3-9035e5b6a9fc | specific      | 食べ残しの禁止       | 収穫した果物は責任を持って食べきるか、持ち帰ってください。                           | t           |            11 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 122 | ed4f9dc5-e611-4e67-ad0d-8bb1afc70d77 | specific      | 装備の確認           | 天候や標高に応じた適切な装備を準備してください。                                     | t           |            11 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
 119 | 0f03e133-d17e-4fb4-b5f6-3c51ba62f53e | specific      | 禁漁区域の確認       | 禁漁区域には絶対に立ち入らないでください。                                           | t           |            11 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
(62 rows)

